b'[FWA, OH1, Fort Wayne, IN, Washington Court House, OH, 0, 0, 1, 135, 2003-09-01, 398574, 28133, 40.97850037, -85.19509888, NA, NA]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 721, 1311, 69, 119, 2006-01-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 726, 1501, 79, 119, 2006-03-01, 2791682, 43871, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 539, 1444, 76, 119, 2005-12-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 907, 1482, 78, 119, 2005-05-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 753, 1425, 75, 119, 2005-10-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 573, 1159, 61, 119, 2005-01-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 748, 1406, 74, 119, 2005-04-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 556, 1216, 64, 119, 2005-02-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 735, 1425, 75, 119, 2005-03-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 814, 1387, 73, 119, 2005-06-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 826, 1425, 75, 119, 2005-11-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 770, 1539, 81, 119, 2005-08-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 839, 1444, 76, 119, 2005-09-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 838, 1463, 77, 119, 2005-07-01, 2773155, 43929, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 652, 1425, 75, 119, 2004-05-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 377, 1425, 75, 119, 2004-12-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 579, 1349, 71, 119, 2004-01-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 708, 1406, 74, 119, 2004-07-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 624, 1311, 69, 119, 2004-11-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 732, 1444, 76, 119, 2004-09-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 784, 1425, 75, 119, 2004-08-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 604, 1349, 71, 119, 2004-02-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 694, 1463, 77, 119, 2004-06-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 708, 1482, 78, 119, 2004-03-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 749, 1425, 75, 119, 2004-04-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 647, 1254, 66, 119, 2004-10-01, 2759153, 44101, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 794, 1463, 77, 119, 2003-08-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
b'[STL, TBN, St. Louis, MO, Fort Leonard Wood, MO, 585, 1425, 75, 119, 2003-04-01, 2743862, 44586, 38.7486991882324, -90.370002746582, 37.74160004, -92.14070129]'
